"Gene_name"
"Cyp1a2"
"Nat1"
"Nat2"
"Nat3"
"Xdh"
"Uox"
"Hk2"
"Hk3"
"Hk1"
"Hkdc1"
"Gck"
"Cyp1a1"
"Cyp1b1"
"Gsta2"
"Gsta3"
"Gsta4"
"Gstm1"
"Gstm2"
"Gstm5"
"Gstm6"
"Gstt1"
"Gstt2"
"Gsto1"
"Gstm3"
"Mgst3"
"Gsta1"
"Mgst1"
"Gsto2"
"Gstm7"
"Gstm4"
"Mgst2"
"Gm3776"
"Gm10639"
"Gstt3"
"Gstt4"
"Gstp1"
"Gstp2"
"Gstp3"
"Gstk1"
"Hpgds"
"Ephx1"
"Sult2a1"
"Sult2a3"
"Sult2a4"
"Sult2a7"
"Sult2a8"
"Sult2a5"
"Cyp2e1"
"Cyp2f2"
"Cyp2s1"
"Dhdh"
"Hsd11b1"
"Cbr1"
"Cbr2"
"Cbr3"
"Ugt2b5"
"Ugt1a2"
"Ugt1a6a"
"Ugt2a1"
"Ugt1a9"
"Ugt1a10"
"Ugt1a7c"
"Ugt1a5"
"Ugt2a3"
"Ugt2a2"
"Ugt2b1"
"Ugt1a6b"
"Ugt1a1"
"Ugt2b34"
"Ugt2b36"
"Ugt2b38"
"Ugt2b37"
"Ugt2b35"
"Ugt1a8"
"Akr7a5"
"Aldh3a1"
"Aldh3b1"
"Aldh3b2"
"Aldh3b3"
"Adh1"
"Adh7"
"Adh4"
"Adh5"
"Fmo1"
"Fmo3"
"Fmo5"
"Fmo2"
"Fmo4"
"Fmo6"
"Gm4846"
"Fmo9"
"Gm4847"
"Maoa"
"Maob"
"Aox2"
"Aox1"
"Aox4"
"Aox3"
"Hprt"
"Impdh1"
"Impdh2"
"Gmps"
"Tpmt"
"Itpa"
"Ces1e"
"Ces1d"
"Ces1c"
"Ces1f"
"Ces2e"
"Ces2g"
"Ces2h"
"Ces2a"
"Ces2c"
"Ces2b"
"Ces2f"
"Gusb"
"Cda"
"Tymp"
"Dpyd"
"Dpys"
"Upb1"
"Upp1"
"Upp2"
"Uck2"
"Uck1"
"Uckl1"
"Tk2"
"Tk1"
"Umps"
"Cmpk1"
"Rrm1"
"Rrm2b"
"Rrm2"
"Nme6"
"Nme2"
"Nme4"
"Nme3"
"Nme7"
"Nme1"
"Dut"
"Mpo"
"mmu01100"
"mmu01200"
"mmu01210"
"mmu01212"
"mmu01230"
"Gpi1"
"Pfkl"
"Pfkm"
"Pfkp"
"Fbp1"
"Fbp2"
"Aldoa"
"Aldob"
"Aldoc"
"Aldoart1"
"Aldoart2"
"Tpi1"
"Gapdh"
"Gm29667"
"Gapdhs"
"Pgk1"
"Pgk2"
"Pgam1"
"Pgam2"
"Eno1"
"Eno2"
"Eno3"
"Eno1b"
"Eno4"
"Pkm"
"Pklr"
"Pdha1"
"Pdha2"
"Pdhb"
"Dlat"
"Dld"
"Ldha"
"Ldhb"
"Ldhc"
"Ldhal6b"
"Akr1a1"
"Aldh2"
"Aldh3a2"
"Aldh1b1"
"Aldh7a1"
"Aldh9a1"
"Acss1"
"Acss2"
"Galm"
"Pgm1"
"Pgm2"
"G6pc"
"G6pc2"
"G6pc3"
"Adpgk"
"Bpgm"
"Minpp1"
"Pck1"
"Pck2"
"Cs"
"Csl"
"Acly"
"Aco2"
"Aco1"
"Idh1"
"Idh2"
"Idh3g"
"Idh3a"
"Idh3b"
"4933405O20Rik"
"Ogdh"
"Ogdhl"
"Dlst"
"Suclg1"
"Suclg2"
"Sucla2"
"Sdha"
"Sdhb"
"Sdhc"
"Sdhd"
"Fh1"
"Mdh1"
"Mdh2"
"Pcx"
"G6pd2"
"G6pdx"
"Pgls"
"H6pd"
"Pgd"
"Rpe"
"Tkt"
"Tktl1"
"Tktl2"
